SD Optics Wisescope Calibration V2
Version = 2.1
Objective = WT1.0x
SerialNumber = NULL
AddOn = Nikon_ICS_50x_ADP1x
AddOnSerialNumber = NULL
Date = 13-Jun-2023
SensorResolutionHorizontal = 2464
SensorResolutionVertical = 2056
ValidStepMin = 0
ValidStepMax = 319
HeightFit = 0
PixelPitchFit = 0
FieldCurvature = poly22
p00 = 0
p10 = 0
p01 = 0
p20 = 0
p11 = 0
p02 = 0
CalibTable = CSV
NumOfRowsExceptHeader = 320
NumOfCols = 8
step,obj_height,pixel_pitch_x,pixel_pitch_y,scale_x,scale_y,shift_x,shift_y
232,  1.57,0.068898,0.068898,0.998536,0.998536,1.8041,1.5054
233,  1.55,0.068897,0.068897,0.998515,0.998515,1.8300,1.5270
234,  1.53,0.068896,0.068896,0.998494,0.998494,1.8560,1.5487
235,  1.52,0.068894,0.068894,0.998472,0.998472,1.8819,1.5703
236,  1.50,0.068893,0.068893,0.998451,0.998451,1.9079,1.5920
237,  1.48,0.068891,0.068891,0.998429,0.998429,1.9350,1.6146
238,  1.47,0.068890,0.068890,0.998408,0.998408,1.9610,1.6363
239,  1.45,0.068888,0.068888,0.998387,0.998387,1.9869,1.6579
240,  1.43,0.068887,0.068887,0.998366,0.998366,2.0128,1.6796
241,  1.41,0.068885,0.068885,0.998344,0.998344,2.0400,1.7022
242,  1.40,0.068884,0.068884,0.998323,0.998323,2.0659,1.7239
243,  1.38,0.068882,0.068882,0.998302,0.998302,2.0919,1.7455
244,  1.36,0.068881,0.068881,0.998280,0.998280,2.1190,1.7682
245,  1.34,0.068879,0.068879,0.998259,0.998259,2.1450,1.7898
246,  1.33,0.068878,0.068878,0.998237,0.998237,2.1721,1.8125
247,  1.31,0.068876,0.068876,0.998216,0.998216,2.1981,1.8341
248,  1.29,0.068875,0.068875,0.998194,0.998194,2.2252,1.8568
249,  1.27,0.068873,0.068873,0.998173,0.998173,2.2511,1.8784
250,  1.26,0.068872,0.068872,0.998151,0.998151,2.2783,1.9010
251,  1.24,0.068870,0.068870,0.998129,0.998129,2.3054,1.9237
252,  1.22,0.068869,0.068869,0.998108,0.998108,2.3314,1.9453
253,  1.20,0.068867,0.068867,0.998086,0.998086,2.3585,1.9680
254,  1.19,0.068866,0.068866,0.998064,0.998064,2.3857,1.9906
255,  1.17,0.068864,0.068864,0.998042,0.998042,2.4128,2.0133
256,  1.15,0.068863,0.068863,0.998021,0.998021,2.4387,2.0349
257,  1.13,0.068861,0.068861,0.997998,0.997998,2.4659,2.0576
258,  1.12,0.068860,0.068860,0.997976,0.997976,2.4930,2.0802
259,  1.10,0.068858,0.068858,0.997954,0.997954,2.5202,2.1029
260,  1.08,0.068857,0.068857,0.997932,0.997932,2.5473,2.1255
261,  1.06,0.068855,0.068855,0.997910,0.997910,2.5745,2.1482
262,  1.05,0.068854,0.068854,0.997888,0.997888,2.6016,2.1708
263,  1.03,0.068852,0.068852,0.997866,0.997866,2.6287,2.1935
264,  1.01,0.068851,0.068851,0.997844,0.997844,2.6559,2.2161
265,  0.99,0.068849,0.068849,0.997821,0.997821,2.6843,2.2398
266,  0.97,0.068848,0.068848,0.997799,0.997799,2.7114,2.2624
267,  0.96,0.068846,0.068846,0.997777,0.997777,2.7385,2.2851
268,  0.94,0.068845,0.068845,0.997755,0.997755,2.7657,2.3077
269,  0.92,0.068843,0.068843,0.997732,0.997732,2.7940,2.3314
270,  0.90,0.068842,0.068842,0.997710,0.997710,2.8212,2.3540
271,  0.88,0.068840,0.068840,0.997687,0.997687,2.8495,2.3777
272,  0.86,0.068838,0.068838,0.997665,0.997665,2.8767,2.4003
273,  0.85,0.068837,0.068837,0.997642,0.997642,2.9050,2.4240
274,  0.83,0.068835,0.068835,0.997620,0.997620,2.9322,2.4466
275,  0.81,0.068834,0.068834,0.997597,0.997597,2.9605,2.4703
276,  0.79,0.068832,0.068832,0.997575,0.997575,2.9877,2.4930
277,  0.77,0.068831,0.068831,0.997552,0.997552,3.0160,2.5166
278,  0.75,0.068829,0.068829,0.997529,0.997529,3.0444,2.5403
279,  0.73,0.068828,0.068828,0.997507,0.997507,3.0715,2.5629
280,  0.72,0.068826,0.068826,0.997484,0.997484,3.0999,2.5866
281,  0.70,0.068824,0.068824,0.997461,0.997461,3.1282,2.6102
282,  0.68,0.068823,0.068823,0.997438,0.997438,3.1566,2.6339
283,  0.66,0.068821,0.068821,0.997415,0.997415,3.1849,2.6575
284,  0.64,0.068820,0.068820,0.997392,0.997392,3.2132,2.6812
285,  0.62,0.068818,0.068818,0.997369,0.997369,3.2416,2.7048
286,  0.61,0.068816,0.068816,0.997346,0.997346,3.2699,2.7285
287,  0.59,0.068815,0.068815,0.997323,0.997323,3.2983,2.7521
288,  0.57,0.068813,0.068813,0.997300,0.997300,3.3266,2.7758
289,  0.55,0.068812,0.068812,0.997276,0.997276,3.3562,2.8004
290,  0.53,0.068810,0.068810,0.997253,0.997253,3.3845,2.8241
291,  0.51,0.068808,0.068808,0.997230,0.997230,3.4128,2.8477
292,  0.50,0.068807,0.068807,0.997206,0.997206,3.4424,2.8724
293,  0.48,0.068805,0.068805,0.997183,0.997183,3.4707,2.8960
294,  0.46,0.068803,0.068803,0.997159,0.997159,3.5003,2.9207
295,  0.44,0.068802,0.068802,0.997136,0.997136,3.5286,2.9443
296,  0.42,0.068800,0.068800,0.997112,0.997112,3.5582,2.9690
297,  0.41,0.068799,0.068799,0.997089,0.997089,3.5865,2.9926
298,  0.39,0.068797,0.068797,0.997065,0.997065,3.6161,3.0173
299,  0.37,0.068795,0.068795,0.997041,0.997041,3.6456,3.0420
300,  0.35,0.068794,0.068794,0.997018,0.997018,3.6739,3.0656
301,  0.33,0.068792,0.068792,0.996994,0.996994,3.7035,3.0903
302,  0.31,0.068790,0.068790,0.996970,0.996970,3.7330,3.1149
303,  0.29,0.068789,0.068789,0.996946,0.996946,3.7626,3.1396
304,  0.28,0.068787,0.068787,0.996922,0.996922,3.7921,3.1642
305,  0.26,0.068785,0.068785,0.996898,0.996898,3.8217,3.1889
306,  0.24,0.068784,0.068784,0.996874,0.996874,3.8512,3.2135
307,  0.22,0.068782,0.068782,0.996850,0.996850,3.8808,3.2382
308,  0.20,0.068781,0.068781,0.996826,0.996826,3.9103,3.2628
309,  0.18,0.068779,0.068779,0.996801,0.996801,3.9411,3.2885
310,  0.16,0.068777,0.068777,0.996777,0.996777,3.9706,3.3131
311,  0.14,0.068775,0.068775,0.996753,0.996753,4.0001,3.3378
312,  0.13,0.068774,0.068774,0.996728,0.996728,4.0309,3.3634
313,  0.11,0.068772,0.068772,0.996704,0.996704,4.0604,3.3881
314,  0.09,0.068770,0.068770,0.996679,0.996679,4.0912,3.4138
315,  0.07,0.068769,0.068769,0.996655,0.996655,4.1207,3.4384
316,  0.05,0.068767,0.068767,0.996630,0.996630,4.1515,3.4640
317,  0.04,0.068765,0.068765,0.996605,0.996605,4.1822,3.4897
318,  0.02,0.068764,0.068764,0.996581,0.996581,4.2117,3.5143
319,  0.00,0.068762,0.068762,0.996556,0.996556,4.2425,3.5400
