SD Optics Wisescope Calibration V2
Version = 2.1
Objective = WT1.0x
SerialNumber = NULL
AddOn = Nikon_ICS_2p0x_ADP1x
AddOnSerialNumber = NULL
Date = 13-Jun-2023
SensorResolutionHorizontal = 2464
SensorResolutionVertical = 2056
ValidStepMin = 0
ValidStepMax = 319
HeightFit = 0
PixelPitchFit = 0
FieldCurvature = poly22
p00 = 0
p10 = 0
p01 = 0
p20 = 0
p11 = 0
p02 = 0
CalibTable = CSV
NumOfRowsExceptHeader = 320
NumOfCols = 8
step,obj_height,pixel_pitch_x,pixel_pitch_y,scale_x,scale_y,shift_x,shift_y
297, 289.69,1.720186,1.720186,0.997214,0.997214,3.4326,2.8642
298, 276.49,1.720147,1.720147,0.997191,0.997191,3.4610,2.8879
299, 263.24,1.720107,1.720107,0.997168,0.997168,3.4893,2.9116
300, 249.97,1.720069,1.720069,0.997146,0.997146,3.5165,2.9342
301, 236.66,1.720029,1.720029,0.997123,0.997123,3.5448,2.9579
302, 223.34,1.719990,1.719990,0.997100,0.997100,3.5732,2.9815
303, 210.00,1.719950,1.719950,0.997077,0.997077,3.6015,3.0052
304, 196.65,1.719910,1.719910,0.997054,0.997054,3.6299,3.0288
305, 183.31,1.719871,1.719871,0.997031,0.997031,3.6582,3.0525
306, 169.96,1.719831,1.719831,0.997008,0.997008,3.6866,3.0761
307, 156.63,1.719791,1.719791,0.996985,0.996985,3.7149,3.0998
308, 143.32,1.719751,1.719751,0.996962,0.996962,3.7432,3.1234
309, 130.04,1.719710,1.719710,0.996938,0.996938,3.7728,3.1481
310, 116.78,1.719670,1.719670,0.996915,0.996915,3.8012,3.1717
311, 103.57,1.719631,1.719631,0.996892,0.996892,3.8295,3.1954
312, 90.39,1.719589,1.719589,0.996868,0.996868,3.8591,3.2201
313, 77.27,1.719550,1.719550,0.996845,0.996845,3.8874,3.2437
314, 64.21,1.719508,1.719508,0.996821,0.996821,3.9170,3.2684
315, 51.21,1.719468,1.719468,0.996798,0.996798,3.9454,3.2921
316, 38.29,1.719427,1.719427,0.996774,0.996774,3.9750,3.3168
317, 25.44,1.719386,1.719386,0.996750,0.996750,4.0046,3.3415
318, 12.67,1.719346,1.719346,0.996727,0.996727,4.0329,3.3651
319,  0.00,1.719304,1.719304,0.996702,0.996702,4.0625,3.3898
